Wavelength,Intensity
380.0,139
380.437531,138
380.875125,137
381.312781,136
381.7505,136
382.188281,137
382.626125,140
383.064031,142
383.502,143
383.940031,142
384.378125,143
384.816281,141
385.2545,139
385.692781,138
386.131125,136
386.569531,136
387.008,136
387.446531,137
387.885125,139
388.323781,140
388.7625,139
389.201281,137
389.640125,135
390.079031,136
390.518,137
390.957031,139
391.396125,141
391.835281,141
392.2745,140
392.713781,138
393.153125,137
393.592531,136
394.032,135
394.471531,134
394.911125,135
395.350781,135
395.7905,136
396.230281,137
396.670125,138
397.110031,139
397.55,138
397.990031,138
398.430125,139
398.870281,140
399.3105,141
399.750781,140
400.191125,139
400.631531,140
401.072,140
401.512531,141
401.953125,142
402.393781,142
402.8345,143
403.275281,144
403.716125,145
404.157031,147
404.598,148
405.039031,149
405.480125,150
405.921281,152
406.3625,155
406.803781,157
407.245125,159
407.686531,160
408.128,158
408.569531,159
409.011125,159
409.452781,160
409.8945,162
410.336281,164
410.778125,165
411.220031,166
411.662,168
412.104031,169
412.546125,171
412.988281,172
413.4305,172
413.872781,172
414.315125,172
414.757531,174
415.2,175
415.642531,177
416.085125,179
416.527781,180
416.9705,180
417.413281,181
417.856125,181
418.299031,183
418.742,184
419.185031,184
419.628125,185
420.071281,184
420.5145,184
420.957781,182
421.401125,181
421.844531,181
422.288,181
422.731531,180
423.175125,178
423.618781,178
424.0625,178
424.506281,178
424.950125,179
425.394031,179
425.838,179
426.282031,177
426.726125,174
427.170281,172
427.6145,173
428.058781,175
428.503125,175
428.947531,174
429.392,173
429.836531,170
430.281125,171
430.725781,171
431.1705,173
431.615281,172
432.060125,170
432.505031,167
432.95,162
433.395031,159
433.840125,157
434.285281,156
434.7305,156
435.175781,156
435.621125,155
436.066531,153
436.512,153
436.957531,152
437.403125,151
437.848781,151
438.2945,150
438.740281,148
439.186125,147
439.632031,145
440.078,143
440.524031,142
440.970125,142
441.416281,141
441.8625,138
442.308781,135
442.755125,134
443.201531,134
443.648,135
444.094531,138
444.541125,139
444.987781,140
445.4345,139
445.881281,136
446.328125,134
446.775031,134
447.222,134
447.669031,133
448.116125,133
448.563281,131
449.0105,130
449.457781,130
449.905125,131
450.352531,131
450.8,130
451.247531,130
451.695125,129
452.142781,128
452.5905,128
453.038281,129
453.486125,130
453.934031,130
454.382,129
454.830031,129
455.278125,130
455.726281,130
456.1745,130
456.622781,130
457.071125,127
457.519531,122
457.968,115
458.416531,110
458.865125,109
459.313781,111
459.7625,114
460.211281,117
460.660125,119
461.109031,120
461.558,119
462.007031,119
462.456125,122
462.905281,123
463.3545,125
463.803781,127
464.253125,127
464.702531,127
465.152,128
465.601531,129
466.051125,129
466.500781,127
466.9505,127
467.400281,128
467.850125,130
468.300031,130
468.75,130
469.200031,129
469.650125,129
470.100281,128
470.5505,126
471.000781,128
471.451125,129
471.901531,128
472.352,128
472.802531,128
473.253125,128
473.703781,130
474.1545,131
474.605281,132
475.056125,134
475.507031,135
475.958,134
476.409031,133
476.860125,132
477.311281,132
477.7625,132
478.213781,133
